user_id,role,years_experience_judiciary,years_experience_federal_small_claims_courts,years_higher_legal_education
volunt01,Federal Judge,6.0,2.0,6.5
volunt02,Federal Judge,16.0,15.0,9.0
volunt03,Federal Judge,9.0,9.0,5.0
volunt04,Analyst (Clerk),4.5,4.5,6.5
volunt05,Analyst (Clerk),8.0,3.0,5.0
volunt06,Technical (Clerk),8.0,8.0,6.5
volunt07,Analyst (Clerk),7.0,4.0,6.5
volunt08,Federal Judge,12.0,2.0,5.0
volunt09,Analyst (Clerk),5.0,5.0,6.5
volunt10,Analyst (Clerk),8.0,8.0,6.5
volunt11,Analyst (Clerk),8.0,8.0,6.5
volunt12,Technical (Clerk),16.0,16.0,6.5
volunt13,Technical (Clerk),10.0,7.0,6.5
volunt14,Analyst (Clerk),17.0,17.0,6.5
volunt15,Technical (Clerk),27.0,18.0,6.5
volunt16,Technical (Clerk),16.0,13.0,6.5
volunt17,Analyst (Clerk),6.0,6.0,6.5
volunt18,Analyst (Clerk),11.0,8.0,6.5
volunt19,Analyst (Clerk),9.0,9.0,6.5
volunt20,Federal Judge,9.0,9.0,7.0
volunt21,Federal Judge,9.0,9.0,7.0
volunt22,Technical (Clerk),8.0,8.0,6.5
volunt23,Technical (Clerk),16.0,4.0,6.5
volunt24,Technical (Clerk),10.0,5.0,6.5
volunt25,Analyst (Clerk),8.0,5.0,6.5
volunt26,Analyst (Clerk),8.0,2.0,6.5
volunt27,Analyst (Clerk),24.0,3.0,6.5
volunt28,Technical (Clerk),17.0,4.0,6.5
volunt29,Analyst (Clerk),22.0,9.0,6.5
volunt30,Analyst (Clerk),6.0,3.0,6.5
volunt31,Technical (Clerk),10.0,8.0,6.5
volunt32,Technical (Clerk),22.0,7.0,5.0
volunt33,Technical (Clerk),5.0,5.0,6.5
